Time,Date,Plot
13:55:46,7/19/24,23
13:55:46,7/19/24,37
13:55:46,7/19/24,-3
13:55:46,7/19/24,30
13:55:47,7/19/24,36
13:55:47,7/19/24,9
13:55:47,7/19/24,125
13:55:47,7/19/24,102
13:55:47,7/19/24,35
13:55:48,7/19/24,25
13:55:48,7/19/24,64
13:55:48,7/19/24,-27
13:55:48,7/19/24,57
13:55:48,7/19/24,27
13:55:49,7/19/24,-14
13:55:49,7/19/24,50
13:55:49,7/19/24,-62
13:55:49,7/19/24,57
13:55:49,7/19/24,-29
13:55:50,7/19/24,53
13:55:50,7/19/24,13
13:55:50,7/19/24,50
13:55:50,7/19/24,48
13:55:50,7/19/24,-70
13:55:51,7/19/24,82
13:55:51,7/19/24,120
13:55:51,7/19/24,25
13:55:51,7/19/24,53
13:55:51,7/19/24,36
13:55:52,7/19/24,74
13:55:52,7/19/24,75
13:55:52,7/19/24,0
13:55:52,7/19/24,3
13:55:52,7/19/24,-16
13:55:53,7/19/24,70
13:55:53,7/19/24,19
13:55:53,7/19/24,74
13:55:53,7/19/24,-63
13:55:53,7/19/24,9
13:55:54,7/19/24,-4
13:55:54,7/19/24,-9
13:55:54,7/19/24,14
13:55:54,7/19/24,12
13:55:54,7/19/24,29
13:55:55,7/19/24,-38
13:55:55,7/19/24,13
13:55:55,7/19/24,23
13:55:55,7/19/24,100
13:55:55,7/19/24,-44
13:55:56,7/19/24,-44
13:55:56,7/19/24,-21
13:55:56,7/19/24,3
13:55:56,7/19/24,72
13:55:56,7/19/24,-2
13:55:57,7/19/24,56
13:55:57,7/19/24,34
13:55:57,7/19/24,-4
13:55:57,7/19/24,17
13:55:57,7/19/24,-15
13:55:58,7/19/24,55
13:55:58,7/19/24,87
13:55:58,7/19/24,3
13:55:58,7/19/24,-3
13:55:58,7/19/24,54
13:55:59,7/19/24,-57
13:55:59,7/19/24,20
13:55:59,7/19/24,-36
13:55:59,7/19/24,-31
13:55:59,7/19/24,-41
13:56:00,7/19/24,33
13:56:00,7/19/24,3
13:56:00,7/19/24,23
13:56:00,7/19/24,40
13:56:00,7/19/24,-29
13:56:01,7/19/24,-89
13:56:01,7/19/24,0
13:56:01,7/19/24,-25
13:56:01,7/19/24,67
13:56:01,7/19/24,-24
13:56:02,7/19/24,-6
13:56:02,7/19/24,31
13:56:02,7/19/24,25
13:56:02,7/19/24,46
13:56:02,7/19/24,2
13:56:03,7/19/24,36
13:56:03,7/19/24,-42
13:56:03,7/19/24,4
13:56:03,7/19/24,20
13:56:03,7/19/24,35
13:56:04,7/19/24,36
13:56:04,7/19/24,-14
13:56:04,7/19/24,64
13:56:04,7/19/24,8
13:56:04,7/19/24,21
13:56:05,7/19/24,77
13:56:05,7/19/24,116
13:56:05,7/19/24,18
13:56:05,7/19/24,12
13:56:05,7/19/24,56
13:56:06,7/19/24,21
13:56:06,7/19/24,55
13:56:06,7/19/24,77
13:56:06,7/19/24,-7
13:56:06,7/19/24,16
13:56:07,7/19/24,55
13:56:07,7/19/24,53
13:56:07,7/19/24,94
13:56:07,7/19/24,38
13:56:07,7/19/24,-34
13:56:08,7/19/24,68
13:56:08,7/19/24,-18
13:56:08,7/19/24,-2
13:56:08,7/19/24,-8
13:56:08,7/19/24,41
13:56:09,7/19/24,16
13:56:09,7/19/24,58
13:56:09,7/19/24,-24
13:56:09,7/19/24,64
13:56:09,7/19/24,35
13:56:10,7/19/24,7
13:56:10,7/19/24,93
13:56:10,7/19/24,45
13:56:10,7/19/24,52
13:56:10,7/19/24,130
13:56:11,7/19/24,146
13:56:11,7/19/24,31
13:56:11,7/19/24,-13
13:56:11,7/19/24,41
13:56:11,7/19/24,83
13:56:12,7/19/24,96
13:56:12,7/19/24,29
13:56:12,7/19/24,121
13:56:12,7/19/24,60
13:56:12,7/19/24,47
13:56:13,7/19/24,25
13:56:13,7/19/24,67
13:56:13,7/19/24,36
13:56:13,7/19/24,67
13:56:13,7/19/24,19
13:56:14,7/19/24,125
13:56:14,7/19/24,70
13:56:14,7/19/24,99
13:56:14,7/19/24,133
13:56:14,7/19/24,174
13:56:15,7/19/24,5
13:56:15,7/19/24,90
13:56:15,7/19/24,86
13:56:15,7/19/24,53
13:56:15,7/19/24,40
13:56:16,7/19/24,117
13:56:16,7/19/24,75
13:56:16,7/19/24,40
13:56:16,7/19/24,24
13:56:16,7/19/24,-15
13:56:17,7/19/24,63
13:56:17,7/19/24,-7
13:56:17,7/19/24,-19
13:56:17,7/19/24,4
13:56:17,7/19/24,-36
13:56:18,7/19/24,11
13:56:18,7/19/24,12
13:56:18,7/19/24,4
13:56:18,7/19/24,-25
13:56:18,7/19/24,-50
13:56:19,7/19/24,88
13:56:19,7/19/24,56
13:56:19,7/19/24,96
13:56:19,7/19/24,47
13:56:19,7/19/24,25
13:56:20,7/19/24,44
13:56:20,7/19/24,59
13:56:20,7/19/24,-22
13:56:20,7/19/24,-24
13:56:20,7/19/24,33
13:56:21,7/19/24,39
13:56:21,7/19/24,31
13:56:21,7/19/24,136
13:56:21,7/19/24,16
13:56:21,7/19/24,52
13:56:22,7/19/24,27
13:56:22,7/19/24,67
13:56:22,7/19/24,118
13:56:22,7/19/24,-35
13:56:22,7/19/24,-38
13:56:23,7/19/24,19
13:56:23,7/19/24,73
13:56:23,7/19/24,-35
13:56:23,7/19/24,-20
13:56:23,7/19/24,-46
13:56:24,7/19/24,36
13:56:24,7/19/24,21
13:56:24,7/19/24,-18
13:56:24,7/19/24,-12
13:56:24,7/19/24,-57
13:56:25,7/19/24,-64
13:56:25,7/19/24,-79
13:56:25,7/19/24,10
13:56:25,7/19/24,13
13:56:25,7/19/24,37
13:56:26,7/19/24,53
13:56:26,7/19/24,80
13:56:26,7/19/24,-9
13:56:26,7/19/24,-46
13:56:26,7/19/24,65
13:56:27,7/19/24,18
13:56:27,7/19/24,47
13:56:27,7/19/24,-17
13:56:27,7/19/24,36
13:56:27,7/19/24,32
13:56:28,7/19/24,-20
13:56:28,7/19/24,43
13:56:28,7/19/24,8
13:56:28,7/19/24,25
13:56:28,7/19/24,5
13:56:29,7/19/24,28
13:56:29,7/19/24,82
13:56:29,7/19/24,109
13:56:29,7/19/24,88
13:56:29,7/19/24,4
13:56:30,7/19/24,59
13:56:30,7/19/24,112
13:56:30,7/19/24,24
13:56:30,7/19/24,19
13:56:30,7/19/24,87
13:56:31,7/19/24,65
13:56:31,7/19/24,60
13:56:31,7/19/24,-42
13:56:31,7/19/24,42
